[HEADER]
VERSION=S255W01
ITEMNAME=IMP
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,IMP_1       ,IMP_2       ,IMP_3       ,IMP_4       ,IMP_5       ,IMP_6       ,IMP_7       ,IMP_8       ,IMP_9       ,IMP_10      
    42.17,  25.627,  25.205,  25.964,  25.892,  25.218,  25.609,  25.050,  25.521,  25.676,  25.025
    42.78,  25.804,  25.366,  26.134,  26.075,  25.388,  25.780,  25.206,  25.685,  25.851,  25.178
    43.40,  26.012,  25.566,  26.336,  26.298,  25.583,  25.954,  25.363,  25.851,  26.028,  25.333
    44.03,  26.234,  25.764,  26.549,  26.519,  25.792,  26.130,  25.522,  26.020,  26.208,  25.489
    44.67,  26.414,  25.940,  26.719,  26.708,  25.965,  26.378,  25.752,  26.251,  26.460,  25.720
    45.32,  26.606,  26.102,  26.888,  26.901,  26.133,  26.631,  25.987,  26.486,  26.716,  25.956
    45.97,  26.829,  26.320,  27.105,  27.135,  26.344,  26.890,  26.225,  26.725,  26.978,  26.195
    46.64,  27.056,  26.529,  27.310,  27.367,  26.563,  27.143,  26.457,  26.961,  27.234,  26.435
    47.32,  27.285,  26.743,  27.528,  27.612,  26.789,  27.402,  26.692,  27.200,  27.495,  26.679
    48.00,  27.516,  26.954,  27.736,  27.845,  27.001,  27.665,  26.931,  27.444,  27.760,  26.928
    48.70,  27.754,  27.173,  27.948,  28.088,  27.231,  27.924,  27.176,  27.675,  28.027,  27.180
    49.40,  27.981,  27.396,  28.167,  28.335,  27.463,  28.187,  27.426,  27.910,  28.298,  27.437
    50.12,  28.220,  27.624,  28.371,  28.581,  27.682,  28.455,  27.680,  28.149,  28.575,  27.699
    50.85,  28.498,  27.875,  28.613,  28.859,  27.957,  28.716,  27.913,  28.374,  28.838,  27.950
    51.58,  28.773,  28.136,  28.863,  29.135,  28.229,  28.982,  28.150,  28.602,  29.105,  28.207
    52.33,  29.014,  28.358,  29.068,  29.388,  28.461,  29.252,  28.392,  28.835,  29.377,  28.468
    53.09,  29.251,  28.582,  29.267,  29.621,  28.680,  29.520,  28.648,  29.064,  29.648,  28.732
    53.86,  29.532,  28.849,  29.502,  29.904,  28.961,  29.792,  28.908,  29.297,  29.923,  29.002
    54.64,  29.805,  29.099,  29.751,  30.195,  29.245,  30.069,  29.173,  29.533,  30.204,  29.276
    55.43,  30.068,  29.356,  29.961,  30.474,  29.508,  30.306,  29.408,  29.735,  30.459,  29.524
    56.23,  30.339,  29.607,  30.185,  30.733,  29.785,  30.546,  29.646,  29.940,  30.720,  29.776
    57.05,  30.600,  29.869,  30.394,  31.005,  30.050,  30.790,  29.888,  30.147,  30.984,  30.033
    57.88,  30.867,  30.105,  30.602,  31.273,  30.323,  31.035,  30.122,  30.349,  31.237,  30.288
    58.72,  31.110,  30.361,  30.802,  31.541,  30.587,  31.284,  30.359,  30.553,  31.493,  30.548
    59.57,  31.392,  30.636,  31.011,  31.811,  30.884,  31.538,  30.600,  30.760,  31.754,  30.812
    60.43,  31.659,  30.884,  31.222,  32.086,  31.171,  31.748,  30.813,  30.915,  31.978,  31.045
    61.31,  31.876,  31.117,  31.391,  32.314,  31.427,  31.962,  31.030,  31.070,  32.204,  31.283
    62.19,  32.096,  31.320,  31.546,  32.543,  31.669,  32.178,  31.249,  31.228,  32.434,  31.523
    63.10,  32.324,  31.558,  31.702,  32.781,  31.933,  32.474,  31.548,  31.460,  32.742,  31.867
    64.01,  32.536,  31.781,  31.864,  32.995,  32.190,  32.774,  31.853,  31.696,  33.056,  32.218
    64.94,  32.741,  31.997,  32.005,  33.223,  32.435,  32.922,  32.021,  31.794,  33.210,  32.401
    65.88,  32.950,  32.214,  32.135,  33.429,  32.689,  33.071,  32.190,  31.892,  33.365,  32.586
    66.83,  33.135,  32.418,  32.252,  33.615,  32.934,  33.221,  32.362,  31.991,  33.521,  32.774
    67.80,  33.288,  32.585,  32.349,  33.764,  33.137,  33.414,  32.566,  32.123,  33.748,  33.047
    68.79,  33.412,  32.719,  32.404,  33.904,  33.311,  33.609,  32.773,  32.256,  33.978,  33.324
    69.78,  33.540,  32.866,  32.475,  34.030,  33.498,  33.678,  32.869,  32.291,  34.052,  33.435
    70.79,  33.639,  32.992,  32.526,  34.141,  33.660,  33.748,  32.965,  32.326,  34.126,  33.547
    71.82,  33.704,  33.079,  32.548,  34.212,  33.784,  33.818,  33.062,  32.360,  34.200,  33.659
    72.86,  33.770,  33.165,  32.561,  34.273,  33.904,  33.892,  33.194,  32.405,  34.304,  33.818
    73.92,  33.804,  33.225,  32.546,  34.304,  34.009,  33.967,  33.327,  32.449,  34.408,  33.979
    74.99,  33.804,  33.264,  32.510,  34.315,  34.083,  33.968,  33.359,  32.398,  34.404,  34.055
    76.08,  33.800,  33.286,  32.473,  34.298,  34.128,  33.969,  33.391,  32.347,  34.400,  34.131
    77.18,  33.759,  33.287,  32.417,  34.264,  34.158,  33.933,  33.414,  32.318,  34.390,  34.184
    78.30,  33.708,  33.269,  32.336,  34.217,  34.155,  33.897,  33.437,  32.289,  34.380,  34.238
    79.43,  33.630,  33.217,  32.233,  34.128,  34.130,  33.792,  33.355,  32.173,  34.275,  34.180
    80.58,  33.530,  33.158,  32.134,  34.034,  34.092,  33.687,  33.274,  32.059,  34.170,  34.123
    81.75,  33.384,  33.071,  32.016,  33.915,  34.020,  33.576,  33.223,  31.945,  34.061,  34.078
    82.94,  33.245,  32.956,  31.865,  33.763,  33.927,  33.465,  33.172,  31.832,  33.953,  34.034
    84.14,  33.082,  32.835,  31.717,  33.592,  33.808,  33.286,  33.044,  31.691,  33.787,  33.895
    85.36,  32.931,  32.694,  31.566,  33.427,  33.677,  33.109,  32.917,  31.551,  33.622,  33.758
    86.60,  32.730,  32.548,  31.391,  33.228,  33.519,  32.950,  32.765,  31.383,  33.460,  33.609
    87.85,  32.530,  32.367,  31.211,  33.029,  33.344,  32.793,  32.614,  31.217,  33.300,  33.462
    89.13,  32.294,  32.185,  31.038,  32.809,  33.160,  32.393,  32.321,  30.940,  32.945,  33.190
    90.42,  32.090,  32.008,  30.845,  32.611,  32.975,  32.182,  32.135,  30.751,  32.728,  32.989
    91.73,  31.866,  31.815,  30.667,  32.373,  32.767,  31.974,  31.951,  30.565,  32.513,  32.791
    93.06,  31.626,  31.587,  30.451,  32.125,  32.527,  31.771,  31.766,  30.394,  32.301,  32.602
    94.41,  31.384,  31.375,  30.256,  31.884,  32.302,  31.571,  31.582,  30.226,  32.092,  32.416
    95.77,  31.133,  31.146,  30.036,  31.630,  32.050,  31.341,  31.380,  30.039,  31.863,  32.202
    97.16,  30.884,  30.916,  29.840,  31.384,  31.813,  31.115,  31.181,  29.854,  31.637,  31.991
    98.57,  30.635,  30.690,  29.637,  31.134,  31.562,  30.714,  30.804,  29.505,  31.241,  31.573
   100.00,  30.391,  30.457,  29.422,  30.866,  31.301,  30.518,  30.633,  29.360,  31.031,  31.378
   101.45,  30.127,  30.204,  29.202,  30.599,  31.041,  30.324,  30.463,  29.216,  30.824,  31.185
   102.92,  29.903,  29.990,  29.017,  30.366,  30.798,  29.892,  30.011,  28.848,  30.403,  30.738
   104.41,  29.649,  29.752,  28.809,  30.118,  30.540,  29.712,  29.848,  28.689,  30.211,  30.549
   105.93,  29.400,  29.510,  28.595,  29.850,  30.272,  29.534,  29.688,  28.532,  30.022,  30.362
   107.46,  29.154,  29.276,  28.397,  29.602,  30.019,  29.143,  29.327,  28.212,  29.644,  29.953
   109.02,  28.934,  29.061,  28.212,  29.382,  29.786,  28.984,  29.173,  28.084,  29.486,  29.786
   110.60,  28.693,  28.829,  28.015,  29.140,  29.530,  28.828,  29.021,  27.956,  29.329,  29.620
   112.20,  28.460,  28.610,  27.819,  28.904,  29.284,  28.463,  28.649,  27.659,  28.922,  29.204
   113.83,  28.239,  28.387,  27.632,  28.674,  29.045,  28.170,  28.359,  27.395,  28.614,  28.882
   115.48,  28.014,  28.164,  27.449,  28.439,  28.803,  28.006,  28.189,  27.249,  28.450,  28.709
   117.15,  27.791,  27.947,  27.262,  28.210,  28.563,  27.845,  28.021,  27.104,  28.288,  28.538
   118.85,  27.597,  27.757,  27.091,  28.012,  28.353,  27.569,  27.766,  26.885,  28.014,  28.244
   120.57,  27.385,  27.554,  26.919,  27.801,  28.132,  27.324,  27.532,  26.672,  27.744,  27.978
   122.32,  27.185,  27.348,  26.743,  27.588,  27.906,  27.183,  27.386,  26.556,  27.594,  27.818
   124.09,  26.989,  27.155,  26.579,  27.396,  27.697,  27.043,  27.241,  26.440,  27.445,  27.660
   125.89,  26.813,  26.983,  26.431,  27.213,  27.501,  26.798,  26.989,  26.231,  27.210,  27.397
   127.72,  26.629,  26.792,  26.269,  27.017,  27.300,  26.585,  26.787,  26.038,  26.982,  27.171
   129.57,  26.449,  26.622,  26.118,  26.838,  27.107,  26.358,  26.541,  25.848,  26.743,  26.917
   131.45,  26.273,  26.440,  25.965,  26.650,  26.907,  26.263,  26.440,  25.762,  26.641,  26.814
   133.35,  26.103,  26.275,  25.819,  26.476,  26.728,  26.168,  26.339,  25.676,  26.540,  26.712
   135.29,  25.933,  26.106,  25.673,  26.307,  26.548,  25.926,  26.103,  25.472,  26.316,  26.451
   137.25,  25.759,  25.944,  25.537,  26.144,  26.373,  25.780,  25.968,  25.328,  26.147,  26.294
   139.24,  25.606,  25.794,  25.393,  25.997,  26.213,  25.598,  25.777,  25.178,  25.945,  26.080
   141.25,  25.454,  25.639,  25.251,  25.835,  26.045,  25.439,  25.607,  25.049,  25.794,  25.913
   143.30,  25.315,  25.494,  25.140,  25.665,  25.873,  25.296,  25.478,  24.914,  25.635,  25.752
   145.38,  25.177,  25.363,  25.014,  25.523,  25.712,  25.128,  25.279,  24.761,  25.466,  25.562
   147.49,  25.046,  25.222,  24.902,  25.387,  25.570,  25.050,  25.205,  24.703,  25.389,  25.480
   149.62,  24.920,  25.091,  24.790,  25.255,  25.430,  24.972,  25.131,  24.646,  25.313,  25.398
   151.79,  24.790,  24.954,  24.684,  25.131,  25.292,  24.870,  25.028,  24.545,  25.204,  25.274
   153.99,  24.675,  24.821,  24.583,  24.998,  25.162,  24.728,  24.883,  24.418,  25.046,  25.133
   156.22,  24.560,  24.700,  24.479,  24.877,  25.029,  24.586,  24.756,  24.303,  24.912,  24.981
   158.49,  24.459,  24.595,  24.395,  24.771,  24.916,  24.496,  24.636,  24.219,  24.808,  24.868
   160.79,  24.347,  24.482,  24.307,  24.662,  24.796,  24.348,  24.511,  24.098,  24.667,  24.731
   163.12,  24.242,  24.372,  24.222,  24.550,  24.681,  24.284,  24.447,  24.041,  24.595,  24.657
   165.48,  24.145,  24.268,  24.153,  24.447,  24.576,  24.167,  24.290,  23.920,  24.449,  24.506
   167.88,  24.049,  24.168,  24.077,  24.345,  24.472,  24.060,  24.199,  23.854,  24.355,  24.401
   170.31,  23.953,  24.074,  24.019,  24.250,  24.372,  23.962,  24.092,  23.778,  24.241,  24.277
   172.78,  23.871,  23.987,  23.973,  24.161,  24.278,  23.818,  23.930,  23.670,  24.076,  24.126
   175.29,  23.775,  23.894,  23.910,  24.068,  24.183,  23.749,  23.875,  23.635,  24.028,  24.066
   177.83,  23.689,  23.811,  23.843,  23.981,  24.099,  23.665,  23.776,  23.554,  23.929,  23.956
   180.41,  23.608,  23.728,  23.749,  23.898,  24.012,  23.610,  23.730,  23.510,  23.873,  23.905
   183.02,  23.525,  23.659,  23.645,  23.815,  23.932,  23.515,  23.633,  23.421,  23.768,  23.801
   185.67,  23.454,  23.591,  23.550,  23.734,  23.861,  23.490,  23.615,  23.412,  23.749,  23.785
   188.36,  23.380,  23.524,  23.465,  23.665,  23.792,  23.389,  23.500,  23.307,  23.645,  23.688
   191.10,  23.305,  23.453,  23.381,  23.585,  23.714,  23.305,  23.432,  23.195,  23.561,  23.597
   193.87,  23.238,  23.383,  23.310,  23.515,  23.642,  23.269,  23.403,  23.110,  23.514,  23.543
   196.68,  23.176,  23.317,  23.244,  23.448,  23.567,  23.160,  23.297,  22.985,  23.397,  23.440
   199.53,  23.114,  23.248,  23.180,  23.382,  23.494,  23.148,  23.275,  22.956,  23.386,  23.423
   202.42,  23.054,  23.187,  23.118,  23.320,  23.427,  23.048,  23.182,  22.867,  23.288,  23.317
   205.35,  22.991,  23.125,  23.063,  23.253,  23.360,  22.990,  23.123,  22.830,  23.233,  23.267
   208.33,  22.936,  23.065,  23.011,  23.198,  23.300,  22.938,  23.052,  22.780,  23.160,  23.180
   211.35,  22.877,  23.002,  22.949,  23.135,  23.235,  22.917,  23.027,  22.751,  23.146,  23.161
   214.41,  22.821,  22.943,  22.897,  23.075,  23.173,  22.834,  22.942,  22.671,  23.060,  23.068
   217.52,  22.774,  22.893,  22.849,  23.023,  23.114,  22.809,  22.906,  22.646,  23.021,  23.033
   220.67,  22.717,  22.834,  22.793,  22.962,  23.053,  22.722,  22.824,  22.561,  22.933,  22.942
   223.87,  22.672,  22.789,  22.751,  22.916,  23.003,  22.678,  22.778,  22.526,  22.892,  22.902
   227.12,  22.622,  22.736,  22.702,  22.865,  22.951,  22.667,  22.749,  22.503,  22.870,  22.869
   230.41,  22.577,  22.692,  22.664,  22.821,  22.907,  22.582,  22.683,  22.432,  22.787,  22.806
   233.75,  22.533,  22.642,  22.618,  22.770,  22.854,  22.561,  22.661,  22.430,  22.775,  22.779
   237.14,  22.491,  22.597,  22.579,  22.724,  22.807,  22.527,  22.617,  22.377,  22.726,  22.733
   240.57,  22.448,  22.551,  22.538,  22.679,  22.762,  22.410,  22.510,  22.268,  22.625,  22.627
   244.06,  22.410,  22.516,  22.501,  22.638,  22.718,  22.454,  22.548,  22.306,  22.654,  22.648
   247.60,  22.366,  22.467,  22.461,  22.592,  22.670,  22.368,  22.447,  22.218,  22.555,  22.560
   251.19,  22.328,  22.431,  22.422,  22.557,  22.631,  22.338,  22.416,  22.195,  22.529,  22.524
   254.83,  22.289,  22.387,  22.387,  22.515,  22.590,  22.314,  22.408,  22.175,  22.509,  22.502
   258.52,  22.250,  22.349,  22.352,  22.472,  22.548,  22.282,  22.366,  22.142,  22.464,  22.467
   262.27,  22.221,  22.317,  22.321,  22.444,  22.518,  22.233,  22.330,  22.104,  22.427,  22.429
   266.07,  22.185,  22.281,  22.284,  22.403,  22.475,  22.206,  22.280,  22.060,  22.382,  22.382
   269.93,  22.149,  22.246,  22.253,  22.365,  22.441,  22.183,  22.262,  22.044,  22.376,  22.368
   273.84,  22.121,  22.213,  22.228,  22.334,  22.406,  22.122,  22.191,  21.984,  22.297,  22.293
   277.81,  22.087,  22.179,  22.192,  22.297,  22.369,  22.103,  22.183,  21.964,  22.289,  22.279
   281.84,  22.051,  22.146,  22.165,  22.267,  22.339,  22.081,  22.157,  21.947,  22.265,  22.253
   285.92,  22.023,  22.118,  22.139,  22.234,  22.309,  22.055,  22.135,  21.930,  22.242,  22.235
   290.07,  21.997,  22.085,  22.111,  22.204,  22.275,  22.041,  22.109,  21.901,  22.199,  22.202
   294.27,  21.966,  22.056,  22.080,  22.170,  22.243,  21.981,  22.046,  21.844,  22.144,  22.140
   298.54,  21.940,  22.028,  22.057,  22.142,  22.219,  21.948,  22.018,  21.822,  22.111,  22.106
   302.87,  21.915,  22.001,  22.030,  22.115,  22.190,  21.947,  22.021,  21.818,  22.113,  22.111
   307.26,  21.887,  21.972,  22.004,  22.084,  22.158,  21.907,  21.977,  21.776,  22.060,  22.074
   311.71,  21.862,  21.949,  21.984,  22.062,  22.136,  21.897,  21.972,  21.788,  22.066,  22.061
   316.23,  21.835,  21.920,  21.957,  22.030,  22.106,  21.857,  21.919,  21.728,  22.014,  22.012
   320.81,  21.808,  21.893,  21.933,  22.003,  22.079,  21.844,  21.907,  21.729,  22.011,  22.006
   325.46,  21.790,  21.871,  21.918,  21.984,  22.059,  21.832,  21.890,  21.708,  21.986,  21.976
   330.18,  21.763,  21.844,  21.889,  21.949,  22.024,  21.809,  21.880,  21.693,  21.972,  21.968
   334.97,  21.742,  21.821,  21.869,  21.929,  22.004,  21.770,  21.827,  21.658,  21.917,  21.918
   339.82,  21.721,  21.799,  21.851,  21.907,  21.982,  21.717,  21.774,  21.604,  21.869,  21.854
   344.75,  21.698,  21.777,  21.830,  21.884,  21.958,  21.756,  21.827,  21.640,  21.898,  21.897
   349.74,  21.678,  21.756,  21.812,  21.862,  21.939,  21.683,  21.739,  21.576,  21.831,  21.825
   354.81,  21.655,  21.734,  21.789,  21.836,  21.914,  21.692,  21.748,  21.566,  21.833,  21.828
   359.96,  21.636,  21.712,  21.771,  21.814,  21.892,  21.664,  21.716,  21.547,  21.803,  21.802
   365.17,  21.618,  21.694,  21.754,  21.795,  21.870,  21.659,  21.712,  21.547,  21.791,  21.805
   370.47,  21.601,  21.671,  21.738,  21.775,  21.851,  21.609,  21.660,  21.499,  21.741,  21.752
   375.84,  21.578,  21.651,  21.717,  21.753,  21.830,  21.647,  21.696,  21.532,  21.775,  21.773
   381.29,  21.562,  21.632,  21.701,  21.735,  21.809,  21.575,  21.628,  21.467,  21.708,  21.712
   386.81,  21.539,  21.611,  21.683,  21.708,  21.784,  21.586,  21.632,  21.483,  21.713,  21.729
   392.42,  21.523,  21.596,  21.666,  21.693,  21.774,  21.567,  21.622,  21.463,  21.688,  21.698
   398.11,  21.510,  21.579,  21.654,  21.674,  21.755,  21.509,  21.549,  21.403,  21.633,  21.646
   403.88,  21.487,  21.556,  21.632,  21.652,  21.732,  21.542,  21.586,  21.435,  21.676,  21.676
   409.73,  21.473,  21.540,  21.621,  21.635,  21.714,  21.467,  21.516,  21.361,  21.583,  21.595
   415.67,  21.456,  21.526,  21.605,  21.617,  21.696,  21.507,  21.548,  21.407,  21.627,  21.631
   421.70,  21.436,  21.504,  21.587,  21.598,  21.673,  21.474,  21.524,  21.382,  21.594,  21.601
   427.81,  21.424,  21.491,  21.573,  21.582,  21.663,  21.450,  21.509,  21.375,  21.581,  21.586
   434.01,  21.412,  21.477,  21.560,  21.566,  21.648,  21.450,  21.489,  21.351,  21.554,  21.579
   440.30,  21.394,  21.455,  21.544,  21.546,  21.627,  21.428,  21.472,  21.336,  21.541,  21.556
   446.68,  21.374,  21.440,  21.529,  21.528,  21.613,  21.379,  21.411,  21.272,  21.477,  21.492
   453.16,  21.363,  21.425,  21.515,  21.513,  21.598,  21.413,  21.451,  21.325,  21.518,  21.529
   459.73,  21.347,  21.408,  21.500,  21.495,  21.579,  21.391,  21.423,  21.299,  21.502,  21.502
   466.39,  21.334,  21.395,  21.490,  21.480,  21.569,  21.354,  21.401,  21.271,  21.465,  21.473
   473.15,  21.318,  21.377,  21.476,  21.463,  21.547,  21.358,  21.398,  21.269,  21.458,  21.477
   480.01,  21.299,  21.361,  21.459,  21.444,  21.528,  21.321,  21.366,  21.237,  21.425,  21.439
   486.97,  21.291,  21.350,  21.452,  21.431,  21.519,  21.314,  21.357,  21.243,  21.421,  21.435
   494.03,  21.277,  21.336,  21.438,  21.418,  21.502,  21.303,  21.343,  21.227,  21.410,  21.423
   501.19,  21.258,  21.316,  21.422,  21.395,  21.482,  21.290,  21.334,  21.216,  21.391,  21.409
   508.45,  21.249,  21.304,  21.413,  21.383,  21.474,  21.325,  21.344,  21.234,  21.410,  21.429
   515.82,  21.233,  21.290,  21.398,  21.369,  21.458,  21.271,  21.291,  21.185,  21.350,  21.369
   523.30,  21.220,  21.276,  21.388,  21.353,  21.443,  21.268,  21.304,  21.195,  21.368,  21.391
   530.88,  21.208,  21.264,  21.377,  21.337,  21.428,  21.249,  21.275,  21.176,  21.338,  21.356
   538.58,  21.199,  21.250,  21.368,  21.325,  21.417,  21.213,  21.239,  21.143,  21.298,  21.316
   546.39,  21.180,  21.234,  21.354,  21.306,  21.398,  21.215,  21.249,  21.153,  21.293,  21.325
   554.31,  21.173,  21.224,  21.347,  21.297,  21.392,  21.228,  21.264,  21.168,  21.309,  21.327
   562.34,  21.158,  21.207,  21.332,  21.278,  21.377,  21.167,  21.204,  21.105,  21.258,  21.270
   570.49,  21.144,  21.195,  21.323,  21.264,  21.359,  21.191,  21.222,  21.130,  21.269,  21.293
   578.76,  21.134,  21.183,  21.313,  21.252,  21.349,  21.151,  21.170,  21.085,  21.229,  21.247
   587.15,  21.122,  21.168,  21.303,  21.238,  21.334,  21.171,  21.204,  21.120,  21.250,  21.273
   595.66,  21.106,  21.155,  21.295,  21.223,  21.318,  21.129,  21.152,  21.078,  21.200,  21.227
   604.30,  21.094,  21.143,  21.282,  21.208,  21.305,  21.123,  21.153,  21.086,  21.197,  21.223
   613.06,  21.085,  21.132,  21.273,  21.195,  21.295,  21.148,  21.179,  21.099,  21.221,  21.243
   621.94,  21.074,  21.120,  21.264,  21.180,  21.279,  21.091,  21.114,  21.045,  21.166,  21.189
   630.96,  21.059,  21.104,  21.251,  21.166,  21.267,  21.106,  21.126,  21.047,  21.159,  21.193
   640.10,  21.048,  21.091,  21.241,  21.152,  21.257,  21.103,  21.113,  21.058,  21.160,  21.193
   649.38,  21.034,  21.077,  21.228,  21.139,  21.237,  21.051,  21.084,  21.013,  21.121,  21.152
   658.79,  21.025,  21.067,  21.222,  21.127,  21.229,  21.056,  21.067,  21.010,  21.107,  21.142
   668.34,  21.012,  21.055,  21.214,  21.113,  21.216,  21.079,  21.094,  21.037,  21.133,  21.165
   678.03,  20.999,  21.042,  21.201,  21.098,  21.202,  21.024,  21.049,  20.987,  21.080,  21.112
